<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXBC,D,13/05/10,00:00:00,9582.4300000,9775.1200000,9375.7800000,9504.0400000,0
MOEXBC,D,14/05/10,00:00:00,9344.4700000,9367.1800000,9236.6600000,9236.6600000,0
MOEXBC,D,17/05/10,00:00:00,9236.6600000,9341.3600000,9040.4700000,9275.9400000,0
MOEXBC,D,18/05/10,00:00:00,9275.9400000,9394.3800000,9197.6900000,9222.6600000,0
MOEXBC,D,19/05/10,00:00:00,9222.6600000,9222.6600000,8975.3100000,9093.1200000,0
MOEXBC,D,20/05/10,00:00:00,9093.1200000,9171.8300000,8589.6100000,8658.9200000,0
MOEXBC,D,21/05/10,00:00:00,8658.9200000,8766.7000000,8439.0000000,8627.8900000,0
MOEXBC,D,24/05/10,00:00:00,8627.8900000,8763.3900000,8526.8700000,8668.7700000,0
MOEXBC,D,25/05/10,00:00:00,8668.7700000,8668.7700000,8159.9100000,8309.3700000,0
MOEXBC,D,26/05/10,00:00:00,8309.3700000,8685.4700000,8295.6000000,8578.5200000,0
MOEXBC,D,27/05/10,00:00:00,8578.5200000,9043.7400000,8578.5200000,9023.1500000,0
MOEXBC,D,28/05/10,00:00:00,9023.1500000,9033.8900000,8870.2000000,8945.8700000,0
MOEXBC,D,31/05/10,00:00:00,8948.9200000,9166.4900000,8947.0600000,9161.8500000,0
MOEXBC,D,01/06/10,00:00:00,9161.8500000,9161.8500000,8886.3200000,9095.2600000,0
MOEXBC,D,02/06/10,00:00:00,9095.2600000,9326.5000000,8944.5700000,9317.3400000,0
MOEXBC,D,03/06/10,00:00:00,9317.3400000,9461.9700000,9241.7100000,9329.0400000,0
MOEXBC,D,04/06/10,00:00:00,9329.0400000,9476.3000000,9044.4600000,9044.6600000,0
MOEXBC,D,07/06/10,00:00:00,9044.6600000,9141.7700000,8857.8200000,9022.2600000,0
MOEXBC,D,08/06/10,00:00:00,9022.2600000,9214.9300000,8925.6300000,9034.1600000,0
MOEXBC,D,09/06/10,00:00:00,9034.1600000,9118.2200000,8969.8300000,9027.1600000,0
MOEXBC,D,10/06/10,00:00:00,9027.1600000,9294.5700000,8949.1500000,9294.5700000,0
MOEXBC,D,11/06/10,00:00:00,9294.5700000,9307.2600000,9124.3600000,9204.5100000,0
MOEXBC,D,15/06/10,00:00:00,9204.5100000,9527.1300000,9196.5200000,9527.1300000,0
MOEXBC,D,16/06/10,00:00:00,9527.1300000,9538.0400000,9333.8300000,9439.8500000,0
MOEXBC,D,17/06/10,00:00:00,9439.8500000,9533.1700000,9281.2100000,9334.9800000,0
MOEXBC,D,18/06/10,00:00:00,9334.9800000,9446.2000000,9271.1400000,9433.6900000,0
MOEXBC,D,21/06/10,00:00:00,9433.6900000,9709.9500000,9433.6900000,9623.4300000,0
MOEXBC,D,22/06/10,00:00:00,9623.4300000,9663.3400000,9485.2400000,9505.3400000,0
MOEXBC,D,23/06/10,00:00:00,9505.3400000,9617.0300000,9438.0000000,9517.9100000,0
MOEXBC,D,24/06/10,00:00:00,9517.9100000,9565.9800000,9352.2900000,9386.1100000,0
MOEXBC,D,25/06/10,00:00:00,9386.1100000,9397.1500000,9193.7700000,9299.1200000,0
MOEXBC,D,28/06/10,00:00:00,9299.1200000,9411.2000000,9242.5000000,9376.5300000,0
MOEXBC,D,29/06/10,00:00:00,9376.5300000,9376.5300000,9043.6000000,9081.4000000,0
MOEXBC,D,30/06/10,00:00:00,9081.4000000,9142.9900000,8929.9200000,8936.6700000,0
MOEXBC,D,01/07/10,00:00:00,8936.6700000,9185.0100000,8546.1100000,8637.0200000,0
MOEXBC,D,02/07/10,00:00:00,8637.0200000,8817.0700000,8596.6000000,8816.4300000,0
MOEXBC,D,05/07/10,00:00:00,8816.4300000,8871.0500000,8756.7600000,8821.1600000,0
MOEXBC,D,06/07/10,00:00:00,8821.1600000,9069.2600000,8820.9600000,9010.1500000,0
MOEXBC,D,07/07/10,00:00:00,9010.1500000,9160.5500000,8838.9900000,9160.5500000,0
MOEXBC,D,08/07/10,00:00:00,9160.5500000,9200.5900000,8928.1600000,9057.0400000,0
MOEXBC,D,09/07/10,00:00:00,9057.0400000,9104.0400000,8940.4200000,9090.0100000,0
MOEXBC,D,12/07/10,00:00:00,9090.0100000,9264.9400000,9013.0300000,9223.2300000,0
