<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXCN,D,12/08/10,00:00:00,4117.6700000,4144.7300000,4117.6700000,4141.7000000,40210824
MOEXCN,D,13/08/10,00:00:00,4141.3100000,4171.1100000,4141.3100000,4166.8500000,48483487
MOEXCN,D,16/08/10,00:00:00,4166.8500000,4192.8000000,4163.3700000,4174.7300000,36505639
MOEXCN,D,17/08/10,00:00:00,4175.4800000,4222.0600000,4175.4800000,4218.1100000,135053296
MOEXCN,D,18/08/10,00:00:00,4218.6400000,4242.3500000,4212.4000000,4212.4000000,70292422
MOEXCN,D,19/08/10,00:00:00,4212.4000000,4276.5200000,4203.3200000,4227.3500000,100387081
MOEXCN,D,20/08/10,00:00:00,4227.9600000,4228.9900000,4197.6400000,4200.9800000,80314213
MOEXCN,D,23/08/10,00:00:00,4200.9800000,4221.2900000,4171.5400000,4214.1200000,38023479
MOEXCN,D,24/08/10,00:00:00,4214.0200000,4214.0200000,4144.3300000,4162.3200000,27329989
MOEXCN,D,25/08/10,00:00:00,4162.3200000,4162.3900000,4063.6900000,4090.8500000,30681959
MOEXCN,D,26/08/10,00:00:00,4091.2700000,4136.3700000,4091.2700000,4118.8800000,22568367
MOEXCN,D,27/08/10,00:00:00,4118.6400000,4134.7900000,4093.6600000,4134.7200000,28266870
MOEXCN,D,30/08/10,00:00:00,4134.7800000,4156.6900000,4124.0300000,4126.9800000,40857605
MOEXCN,D,31/08/10,00:00:00,4126.9700000,4138.6600000,4092.9400000,4136.9500000,137129431
MOEXCN,D,01/09/10,00:00:00,4137.0400000,4149.4600000,4115.8300000,4149.3800000,73825826
MOEXCN,D,02/09/10,00:00:00,4149.3800000,4165.3000000,4131.6800000,4144.1800000,75466691
MOEXCN,D,03/09/10,00:00:00,4144.1500000,4251.4600000,4127.1200000,4245.2100000,858713494
MOEXCN,D,06/09/10,00:00:00,4251.8000000,4361.4800000,4251.8000000,4311.4000000,1753376379
MOEXCN,D,07/09/10,00:00:00,4315.4000000,4319.2900000,4245.0500000,4300.2700000,642668843
MOEXCN,D,08/09/10,00:00:00,4292.8800000,4351.0800000,4275.2200000,4330.9300000,649921093
MOEXCN,D,09/09/10,00:00:00,4338.2600000,4363.1100000,4317.7200000,4360.4000000,278616221
MOEXCN,D,10/09/10,00:00:00,4361.6800000,4399.5100000,4327.3800000,4399.5100000,133941838
