<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,D,09/01/07,00:00:00,1857.9400000,1860.4800000,1796.6200000,1798.6300000,52713102
RTSI,D,10/01/07,00:00:00,1798.0900000,1798.0900000,1749.2200000,1770.6700000,70796078
RTSI,D,11/01/07,00:00:00,1770.6700000,1808.2300000,1769.3100000,1800.6100000,59572625
RTSI,D,12/01/07,00:00:00,1799.4400000,1805.5500000,1793.5100000,1797.5900000,75866305
RTSI,D,15/01/07,00:00:00,1798.4500000,1850.2100000,1798.4500000,1850.2100000,52333361
RTSI,D,16/01/07,00:00:00,1848.9800000,1879.8600000,1847.3500000,1851.6300000,57070964
RTSI,D,17/01/07,00:00:00,1849.8800000,1857.9400000,1808.0600000,1810.6300000,59712188
RTSI,D,18/01/07,00:00:00,1814.0300000,1837.8100000,1807.2800000,1807.2800000,51355328
RTSI,D,19/01/07,00:00:00,1804.0400000,1815.4900000,1803.0600000,1812.9300000,35396349
RTSI,D,22/01/07,00:00:00,1819.9300000,1845.4500000,1819.9300000,1841.9700000,44258019
RTSI,D,23/01/07,00:00:00,1840.9100000,1859.2300000,1840.9100000,1856.4000000,47930183
RTSI,D,24/01/07,00:00:00,1857.6500000,1879.5000000,1857.6500000,1861.4600000,65379274
RTSI,D,25/01/07,00:00:00,1862.5000000,1886.7600000,1862.5000000,1880.4500000,81106265
RTSI,D,26/01/07,00:00:00,1880.1900000,1880.1900000,1862.8400000,1863.2800000,26487642
RTSI,D,29/01/07,00:00:00,1865.0200000,1871.9000000,1836.5900000,1836.7700000,32515394
RTSI,D,30/01/07,00:00:00,1836.7000000,1836.7000000,1800.5900000,1824.7700000,65263637
RTSI,D,31/01/07,00:00:00,1833.0000000,1851.5100000,1833.0000000,1842.9300000,51430672
RTSI,D,01/02/07,00:00:00,1843.8900000,1894.3400000,1843.8900000,1894.2500000,59238255
RTSI,D,02/02/07,00:00:00,1894.5200000,1904.6700000,1885.7600000,1896.6200000,58032877
RTSI,D,05/02/07,00:00:00,1896.6200000,1905.5000000,1895.9000000,1905.4400000,34666628
RTSI,D,06/02/07,00:00:00,1906.0100000,1927.0600000,1905.0600000,1923.2700000,65948737
RTSI,D,07/02/07,00:00:00,1924.2300000,1926.6100000,1913.2300000,1917.8200000,45787516
RTSI,D,08/02/07,00:00:00,1917.1300000,1917.1300000,1878.8600000,1879.3700000,55194351
RTSI,D,09/02/07,00:00:00,1884.5600000,1899.0700000,1881.7800000,1885.9300000,27619599
RTSI,D,12/02/07,00:00:00,1885.4700000,1885.4700000,1838.6200000,1838.6200000,38827554
RTSI,D,13/02/07,00:00:00,1838.4000000,1866.9800000,1827.0500000,1866.9800000,48789246
RTSI,D,14/02/07,00:00:00,1867.8400000,1889.9600000,1867.8400000,1889.9600000,48229169
RTSI,D,15/02/07,00:00:00,1890.0400000,1905.3000000,1890.0400000,1894.9200000,39024792
RTSI,D,16/02/07,00:00:00,1895.2100000,1898.6400000,1882.0900000,1897.0700000,30368465
RTSI,D,19/02/07,00:00:00,1899.9100000,1916.7600000,1899.9100000,1904.8400000,25656896
RTSI,D,20/02/07,00:00:00,1905.0400000,1905.5100000,1893.6400000,1893.6400000,22273463
RTSI,D,21/02/07,00:00:00,1893.8500000,1909.1500000,1893.2000000,1905.4600000,33623846
RTSI,D,22/02/07,00:00:00,1905.9900000,1934.9900000,1905.9900000,1934.2600000,29335520
RTSI,D,26/02/07,00:00:00,1936.8200000,1971.3500000,1936.8200000,1970.7700000,69394492
RTSI,D,27/02/07,00:00:00,1968.9900000,1968.9900000,1901.2700000,1906.0800000,88736795
RTSI,D,28/02/07,00:00:00,1905.0600000,1905.0600000,1836.1500000,1858.1400000,172711524
RTSI,D,01/03/07,00:00:00,1857.8200000,1877.5500000,1772.9200000,1797.1000000,98817592
RTSI,D,02/03/07,00:00:00,1798.6600000,1813.5500000,1784.0000000,1795.8900000,60480273
RTSI,D,05/03/07,00:00:00,1795.7400000,1795.7400000,1701.8000000,1737.7100000,81843853
RTSI,D,06/03/07,00:00:00,1738.6300000,1766.6100000,1738.6300000,1763.6600000,29538609
RTSI,D,07/03/07,00:00:00,1764.1000000,1773.1700000,1757.8500000,1767.1000000,16182610
RTSI,D,09/03/07,00:00:00,1772.8300000,1818.2800000,1772.8300000,1808.6500000,57673825
RTSI,D,12/03/07,00:00:00,1810.5500000,1829.7700000,1806.2700000,1811.9100000,69244530
RTSI,D,13/03/07,00:00:00,1812.2100000,1827.9600000,1807.4900000,1817.1500000,81625410
RTSI,D,14/03/07,00:00:00,1808.7600000,1808.7600000,1750.0600000,1779.1000000,47929329
RTSI,D,15/03/07,00:00:00,1780.1100000,1810.7200000,1780.1100000,1809.1600000,44326061
RTSI,D,16/03/07,00:00:00,1809.3100000,1821.5800000,1808.8700000,1821.3400000,42888132
RTSI,D,19/03/07,00:00:00,1825.8000000,1846.3800000,1825.8000000,1846.3800000,23091222
RTSI,D,20/03/07,00:00:00,1847.1100000,1852.5900000,1830.7700000,1831.2200000,41819956
RTSI,D,21/03/07,00:00:00,1831.2400000,1848.5900000,1831.2400000,1847.2600000,38554949
RTSI,D,22/03/07,00:00:00,1851.5600000,1892.5500000,1851.5600000,1889.6200000,53686286
RTSI,D,23/03/07,00:00:00,1889.7000000,1915.4200000,1887.1100000,1914.4700000,48109509
RTSI,D,26/03/07,00:00:00,1918.1600000,1929.1300000,1914.8400000,1924.7900000,49669422
RTSI,D,27/03/07,00:00:00,1923.3400000,1924.3800000,1907.5900000,1911.0600000,39991151
RTSI,D,28/03/07,00:00:00,1911.3700000,1933.7800000,1910.7000000,1925.6400000,47983110
RTSI,D,29/03/07,00:00:00,1926.0400000,1940.5900000,1926.0400000,1940.4700000,39579216
RTSI,D,30/03/07,00:00:00,1949.2500000,1953.5600000,1933.4100000,1935.7200000,37759405
RTSI,D,02/04/07,00:00:00,1935.0100000,1935.0100000,1922.7200000,1927.7300000,25627478
RTSI,D,03/04/07,00:00:00,1928.2100000,1931.6800000,1914.8500000,1920.8000000,36171493
RTSI,D,04/04/07,00:00:00,1921.1900000,1934.1700000,1921.1900000,1929.9400000,55271152
RTSI,D,05/04/07,00:00:00,1930.0900000,1942.7500000,1929.8500000,1942.7500000,65453241
RTSI,D,06/04/07,00:00:00,1943.6900000,1947.9700000,1943.2900000,1946.4700000,18633197
RTSI,D,09/04/07,00:00:00,1946.9500000,1973.8300000,1946.9500000,1964.0700000,31671667
RTSI,D,10/04/07,00:00:00,1961.9200000,1978.1900000,1960.6700000,1977.3300000,47402157
RTSI,D,11/04/07,00:00:00,1979.1000000,1991.6300000,1979.1000000,1984.4400000,92547830
RTSI,D,12/04/07,00:00:00,1983.8100000,1983.8100000,1964.6600000,1967.0200000,48277270
RTSI,D,13/04/07,00:00:00,1969.1500000,2001.5900000,1969.1500000,2001.5900000,52557747
RTSI,D,16/04/07,00:00:00,2001.6300000,2008.7100000,1995.9700000,2008.4200000,60712731
RTSI,D,17/04/07,00:00:00,2007.0000000,2007.4700000,1983.4700000,1990.5700000,42609193
RTSI,D,18/04/07,00:00:00,1990.6600000,1993.9800000,1965.0900000,1965.0900000,67427198
RTSI,D,19/04/07,00:00:00,1964.3700000,1964.3700000,1915.3600000,1926.3800000,63032689
RTSI,D,20/04/07,00:00:00,1929.2800000,1974.3100000,1929.2800000,1971.6600000,51069931
RTSI,D,23/04/07,00:00:00,1971.7300000,1985.8300000,1971.7300000,1973.6700000,25955845
RTSI,D,24/04/07,00:00:00,1973.9100000,1984.0100000,1957.1700000,1966.5900000,35952462
RTSI,D,25/04/07,00:00:00,1966.0900000,1979.2700000,1958.7000000,1973.4800000,86070433
RTSI,D,26/04/07,00:00:00,1978.7400000,1991.8800000,1960.4000000,1960.4000000,30338150
RTSI,D,27/04/07,00:00:00,1960.4300000,1962.8600000,1913.7300000,1914.2600000,51679998
RTSI,D,28/04/07,00:00:00,1920.1000000,1935.5100000,1920.1000000,1935.5100000,9205599
RTSI,D,02/05/07,00:00:00,1932.0500000,1932.0500000,1911.6900000,1911.6900000,71447472
